t; x; y; theta
56403653.641001; 0.00; 0.00; 90.50
56430154.167001; 0.00; 0.00; 90.50
56444906.588000; 0.00; 0.00; 90.50
56464130.380000; 0.00; 0.00; 90.50
56475697.864000; 0.00; 0.00; 90.50
56489580.383000; 0.00; 0.00; 90.50
56505498.383000; 0.00; 0.00; 90.50
56516058.104000; 0.00; 0.00; 90.50
56537081.554001; 0.00; 0.00; 90.50
56550435.601001; 0.00; 0.00; 90.50
56563671.376000; 0.00; 0.00; 90.50
56579893.916000; 0.00; 0.00; 90.50
56596735.968000; 0.00; 0.00; 90.50
56613660.170000; 0.00; 0.00; 90.50
56634379.609000; 0.00; 0.00; 90.50
56647639.901000; 0.00; 0.00; 90.50
56660898.543000; 0.00; 0.00; 90.50
56678440.469001; 0.00; 0.00; 90.50
56691820.342000; 0.00; 0.00; 90.50
56707579.754001; 0.00; 0.00; 90.50
56725711.739000; 0.00; 0.00; 90.50
56740401.746000; 0.00; 0.00; 90.50
56755631.584001; 0.00; 0.00; 90.50
56773141.720000; 0.00; 0.00; 90.50
56788073.188001; 0.00; 0.00; 90.50
56817108.953001; 0.00; 0.00; 90.50
56831754.725000; 0.00; 0.00; 90.50
56846979.297000; 0.00; 0.00; 90.50
56855799.227000; 0.00; 0.00; 90.50
56868986.545001; 0.00; 0.00; 90.50
56885739.862000; 0.00; 0.00; 90.50
56901320.873000; 0.00; 0.00; 90.50
56917894.783001; 0.00; 0.00; 90.50
56931565.144000; 0.00; 0.00; 90.50
56948464.814001; 0.00; 0.00; 90.50
56974871.549001; 0.00; 0.00; 90.50
56991178.602000; 0.00; 0.00; 90.50
57002029.526000; 0.00; 0.00; 90.50
57013364.967001; 0.00; 0.00; 90.50
57028131.948000; 0.00; 0.00; 90.50
57044723.975000; 0.00; 0.00; 90.50
57061894.328001; 0.00; 0.00; 90.50
57077878.364000; 0.00; 0.00; 90.50
57094522.480000; 0.00; 0.00; 90.50
57109412.047000; 0.00; 0.00; 90.50
57123589.708001; 0.00; 0.00; 90.50
57140988.779000; 0.00; 0.00; 90.50
57157255.705000; 0.00; 0.00; 90.50
57172716.036001; 0.00; 0.00; 90.50
57187812.596001; 0.00; 0.00; 90.50
57203995.746000; 0.00; 0.00; 90.50
57222219.708000; 0.00; 0.00; 90.50
57235763.477001; 0.00; 0.00; 90.50
57252565.492001; 0.00; 0.00; 90.50
57267688.917000; 0.00; 0.00; 90.50
57284907.539001; 0.00; 0.00; 90.50
57303044.290000; 0.00; 0.00; 90.50
57315784.148001; 0.00; 0.00; 90.50
57333043.109000; 0.00; 0.00; 90.50
57348781.434001; 0.00; 0.00; 90.50
57364009.861000; 0.00; 0.00; 90.50
