t; x; y; theta
67940097.843000; -0.40; 0.00; -30.11
67957432.635000; -0.40; 0.00; -30.11
67981396.778000; -0.40; 0.00; -30.11
67992340.510000; -0.40; 0.00; -30.11
68003660.710000; -0.40; 0.00; -30.11
68020371.196000; -0.40; 0.00; -30.11
68034621.230000; -0.40; 0.00; -30.11
68053372.090000; -0.40; 0.00; -30.11
68073078.179000; -0.40; 0.00; -30.11
68084233.354000; -0.40; 0.00; -30.11
68098996.509000; -0.40; 0.00; -30.11
68114528.779000; -0.40; 0.00; -30.11
68130836.214000; -0.40; 0.00; -30.11
68149407.021000; -0.40; 0.00; -30.11
68164349.918000; -0.40; 0.00; -30.11
68179777.098000; -0.40; 0.00; -30.11
68195241.098000; -0.40; 0.00; -30.11
68210823.841000; -0.40; 0.00; -30.11
68227314.188000; -0.40; 0.00; -30.11
68245578.346000; -0.40; 0.00; -30.11
68261907.738000; -0.40; 0.00; -30.11
68274834.815000; -0.40; 0.00; -30.11
68292662.466000; -0.40; 0.00; -30.11
68309851.298000; -0.40; 0.00; -30.11
68332342.365000; -0.40; 0.00; -30.11
68341390.819000; -0.40; 0.00; -30.11
68354744.414000; -0.40; 0.00; -30.11
68370639.565000; -0.40; 0.00; -30.11
68386478.968000; -0.40; 0.00; -30.11
68403444.002000; -0.40; 0.00; -30.11
68419787.776000; -0.40; 0.00; -30.11
68434795.590000; -0.40; 0.00; -30.11
68452915.794000; -0.40; 0.00; -30.11
68466491.775000; -0.40; 0.00; -30.11
68482575.691000; -0.40; 0.00; -30.11
68499078.237000; -0.40; 0.00; -30.11
68514930.774000; -0.40; 0.00; -30.11
68531585.136000; -0.40; 0.00; -30.11
68547843.845000; -0.40; 0.00; -30.11
68562474.586000; -0.40; 0.00; -30.11
68578826.571000; -0.40; 0.00; -30.11
68595908.632000; -0.40; 0.00; -30.11
68611760.559000; -0.40; 0.00; -30.11
68626513.798000; -0.40; 0.00; -30.11
68643158.086000; -0.40; 0.00; -30.11
68659663.891000; -0.40; 0.00; -30.11
68675287.304000; -0.40; 0.00; -30.11
68693041.102000; -0.40; 0.00; -30.11
68708747.012000; -0.40; 0.00; -30.11
68722914.551000; -0.40; 0.00; -30.11
68739028.696000; -0.40; 0.00; -30.11
68754652.228000; -0.40; 0.00; -30.11
68770993.068000; -0.40; 0.00; -30.11
68786592.964000; -0.40; 0.00; -30.11
68802729.973000; -0.40; 0.00; -30.11
68818623.269000; -0.40; 0.00; -30.11
68836910.866000; -0.40; 0.00; -30.11
68851164.061000; -0.40; 0.00; -30.11
68868372.127000; -0.40; 0.00; -30.11
